Company,Country,n,Multinational,Organisation_type,Ownership_type,Industry_Sector,Hydrogen_specialist,Location_of_jobs,multi_Nordic
ABB,DK,2,Yes,Firm,Private,Other manufacturing,No,"DK ,  NO",TRUE
ABB,NO,5,Yes,Firm,Private,Other manufacturing,No,"DK ,  NO",TRUE
AFRY,SE,19,Yes,Firm,Private,Consulting,No,"NO ,  SE",TRUE
AS Bull,NO,2,No,Firm,Private,Other,No,NO,FALSE
Aalborg Universitet,DK,4,No,University,Public,Research/Education,No,DK,FALSE
Aarhus Universitet,DK,11,No,University,Public,Research/Education,No,DK,FALSE
Accura,DK,4,Yes,Firm,Private,Legal/HR/Economics,No,"AU ,  DK",TRUE
Advansor,DK,11,No,Firm,Private,Other manufacturing,No,DK,FALSE
Agder fylkeskommune,NO,5,No,Municipality,Public,Government/Public sector,No,NO,FALSE
Aibel,NO,126,Yes,Firm,Private,Energy technology manufacturer,No,"NO ,  SE",TRUE
Aker Carbon Capture,DK,3,Yes,Firm,Private,Energy technology manufacturer,No,"DK ,  NO",TRUE
Aker Carbon Capture,NO,9,Yes,Firm,Private,Energy technology manufacturer,No,"DK ,  NO",TRUE
Aker Solutions,NO,161,Yes,Firm,Private,Energy technology manufacturer,No,"NO ,  SE",TRUE
Akkodis,NO,241,Yes,Firm,Private,Consulting,No,"NO ,  SE",TRUE
Algiecel,DK,6,No,Firm,Private,Research/Education,No,DK,FALSE
Alltec Services,NO,2,No,Firm,Private,Other,No,NO,FALSE
Alm. Brand Group,DK,3,No,Firm,Private,Other,No,DK,FALSE
Amogy,NO,2,No,Firm,Private,Hydrogen technology manufacturer,No,NO,FALSE
Aragon,NO,3,No,Firm,Private,Consulting,No,NO,FALSE
Automation Lab,DK,2,No,Firm,Private,Research/Education,No,"DK ,  SE",TRUE
BWSC,DK,7,Yes,Firm,Private,Energy technology manufacturer,No,DK,FALSE
Benestad,NO,2,No,Firm,Private,Other manufacturing,No,NO,FALSE
Bergen Engines,NO,11,No,Firm,Private,Other manufacturing,No,NO,FALSE
Blue Power Partners,DK,2,No,Firm,Private,Consulting,No,DK,FALSE
Bodens kommun,SE,5,No,Municipality,Public,Government/Public sector,No,SE,FALSE
British Embassy Copenhagen,DK,3,No,Government,Public,Government/Public sector,No,DK,FALSE
COWI,DK,6,Yes,Firm,Private,Consulting,No,"DK ,  NO ,  SE",TRUE
COWI,NO,2,Yes,Firm,Private,Consulting,No,"DK ,  NO ,  SE",TRUE
Copenhagen Infrastructure Partners,DK,42,No,Firm,Private,Consulting,No,DK,FALSE
Copenhagen School of Design and Technology,DK,3,No,University,Public,Research/Education,No,DK,FALSE
Corvus Energy,NO,12,No,Firm,Private,Energy technology manufacturer,Yes,NO,FALSE
Cyient,NO,24,Yes,Firm,Private,Consulting,No,"NO ,  SE",TRUE
DNV,DK,3,Yes,Firm,Private,Consulting,No,"DK ,  NO",TRUE
DNV,NO,9,Yes,Firm,Private,Consulting,No,"DK ,  NO",TRUE
DTU,DK,20,No,University,Public,Research/Education,No,DK,FALSE
Danish Energy Agency,DK,6,No,Government,Public,Government/Public sector,No,DK,FALSE
"Danish Ministry of Climate, Energy and Utilities",DK,6,No,Government,Public,Government/Public sector,No,DK,FALSE
Danish Utility Regulator,DK,5,No,Government,Public,Government/Public sector,No,DK,FALSE
Danske Bank,DK,3,Yes,Firm,Private,Other,No,DK,FALSE
Danske Havne,DK,9,No,NGO,Public,Other,No,DK,FALSE
Dynelectro,DK,2,No,Firm,Private,Energy technology manufacturer,Yes,DK,FALSE
EIFO,DK,3,No,Firm,Private,Other,No,DK,FALSE
EY,DK,2,Yes,Firm,Private,Legal/HR/Economics,No,DK,FALSE
Eltronic PtX,DK,9,No,Firm,Private,Energy technology manufacturer,Yes,DK,FALSE
Energigas Sverige,SE,2,No,NGO,Public,Other,No,SE,FALSE
Energimyndigheten,SE,3,No,Government,Public,Government/Public sector,No,SE,FALSE
Energinet,DK,3,No,Firm,Public,Energy Utility,No,DK,FALSE
Energy Cluster Denmark,DK,2,No,NGO,Public,Other,No,DK,FALSE
Equinor,NO,21,Yes,Firm,Public,Oil/gas/refinery,No,NO,FALSE
Euromekanik,SE,3,No,Firm,Private,Other manufacturing,No,SE,FALSE
European Energy,DK,29,Yes,Firm,Private,Energy Utility,No,"DK ,  SE",TRUE
Eurowater,DK,4,Yes,Firm,Private,Other manufacturing,No,DK,FALSE
Eurowind Energy,DK,2,Yes,Firm,Private,Energy Utility,No,DK,FALSE
Everfuel,DK,5,No,Firm,Private,Hydrogen technology manufacturer,Yes,DK,FALSE
Evida,DK,5,No,Firm,Public,Energy Utility,No,DK,FALSE
FORCE Technology,DK,3,No,Research institute,Private,Research/Education,No,DK,FALSE
FUELLA,NO,4,No,Firm,Private,Hydrogen technology manufacturer,Yes,NO,FALSE
Flux Partners,DK,9,No,Firm,Private,Consulting,No,DK,FALSE
Flux Partners,NO,3,No,Firm,Private,Consulting,No,DK,FALSE
GEMKOM,SE,8,No,Firm,Private,Other,No,SE,FALSE
GEUS,DK,3,No,Research institute,Public,Research/Education,No,DK,FALSE
Gasnor,NO,2,No,Firm,Private,Oil/gas/refinery,No,NO,FALSE
Gassco,NO,7,No,Firm,Public,Oil/gas/refinery,No,NO,FALSE
Granzow,SE,2,No,Firm,Private,Other manufacturing,No,SE,FALSE
Green Hydrogen Systems,DK,34,No,Firm,Private,Hydrogen technology manufacturer,Yes,DK,FALSE
Green Transition Denmark,DK,3,No,NGO,Private,Consulting,No,DK,FALSE
GreenGo Energy,DK,4,Yes,Firm,Private,Energy Utility,No,DK,FALSE
H2 Energy,DK,11,No,Firm,Private,Energy Utility,Yes,DK,FALSE
HPNow,DK,3,No,Firm,Private,Chemicals,Yes,DK,FALSE
HYDS,NO,8,No,Firm,Private,Hydrogen technology manufacturer,Yes,NO,FALSE
Head Energy,NO,11,No,Firm,Private,Other manufacturing,No,NO,FALSE
Hitachi Energy,NO,2,Yes,Firm,Private,Energy technology manufacturer,No,"NO ,  SE",TRUE
Hitachi Energy,SE,2,Yes,Firm,Private,Energy technology manufacturer,No,"NO ,  SE",TRUE
Hydro,NO,20,Yes,Firm,Public,Iron/steel/mining,No,NO,FALSE
HydrogenPro,NO,9,No,Firm,Private,Hydrogen technology manufacturer,Yes,NO,FALSE
Hystar,NO,4,No,Firm,Private,Hydrogen technology manufacturer,Yes,NO,FALSE
Höegh LNG,NO,2,Yes,Firm,Private,Transport,No,NO,FALSE
Høgskulen på Vestlandet,NO,3,No,University,Public,Research/Education,No,NO,FALSE
IFE,NO,3,No,Research institute,Public,Research/Education,No,NO,FALSE
Innovation Norway,NO,2,No,Government,Public,Government/Public sector,No,NO,FALSE
Inventura,NO,3,No,Firm,Private,Consulting,No,NO,FALSE
KTH,SE,8,No,University,Public,Research/Education,No,SE,FALSE
KraftPowercon,SE,7,No,Firm,Private,Other manufacturing,No,SE,FALSE
Kromann Reumert,DK,3,No,Firm,Private,Legal/HR/Economics,No,DK,FALSE
Kunnskapsparken Helgeland,NO,2,No,NGO,Private,Consulting,No,NO,FALSE
LKAB,SE,4,No,Firm,Public,Iron/steel/mining,No,SE,FALSE
LTU,SE,6,No,University,Public,Research/Education,No,SE,FALSE
Leap Solutions,DK,3,No,Firm,Private,Consulting,No,DK,FALSE
Lunds universitet,SE,6,No,University,Public,Research/Education,No,SE,FALSE
MAN Energy Solutions,DK,9,Yes,Firm,Private,Other manufacturing,No,"DK ,  SE",TRUE
MINISTRY OF FOREIGN AFFAIRS OF DENMARK,DK,7,No,Government,Public,Government/Public sector,No,"DK ,  IN",TRUE
Mana Group,NO,2,No,Firm,Private,Consulting,No,NO,FALSE
Moreld Apply,NO,4,No,Firm,Private,Other manufacturing,No,NO,FALSE
Moreld Minox,NO,2,No,Firm,Private,Other manufacturing,No,NO,FALSE
Moss Maritime,NO,2,Yes,Firm,Private,Transport,No,NO,FALSE
Multiconsult,NO,4,No,Firm,Private,Consulting,No,NO,FALSE
NES Fircroft,NO,11,Yes,Firm,Private,Consulting,No,NO,FALSE
NIRAS,DK,3,Yes,Firm,Private,Consulting,No,DK,FALSE
NORCE,NO,6,No,Research institute,Public,Research/Education,No,"NO ,  SE",TRUE
NOV,NO,3,Yes,Firm,Private,Other manufacturing,No,NO,FALSE
NTNU,NO,24,No,University,Public,Research/Education,No,NO,FALSE
Nel,DK,19,Yes,Firm,Private,Hydrogen technology manufacturer,Yes,"DK ,  NO",TRUE
Nel,NO,27,Yes,Firm,Private,Hydrogen technology manufacturer,Yes,"DK ,  NO",TRUE
NorSea,NO,2,No,Firm,Private,Transport,No,NO,FALSE
Norconsult,NO,5,Yes,Firm,Private,Consulting,No,"NO ,  SE",TRUE
Norwegian Hydrogen,NO,2,No,Firm,Private,Hydrogen technology manufacturer,Yes,"DK ,  NO",TRUE
Norwegian Maritime Authority,NO,2,No,Government,Public,Government/Public sector,No,NO,FALSE
OKG,SE,3,No,Firm,Private,Energy Utility,No,SE,FALSE
Odfjell Drilling,NO,10,Yes,Firm,Private,Oil/gas/refinery,No,NO,FALSE
OneSubsea,NO,3,Yes,Firm,Private,Oil/gas/refinery,No,NO,FALSE
PRO&CO,DK,3,No,Firm,Private,Consulting,No,DK,FALSE
Permascand,SE,2,No,Firm,Private,Other manufacturing,No,SE,FALSE
Plushögskolan,SE,2,No,University,Private,Research/Education,No,SE,FALSE
PowerCell,SE,3,Yes,Firm,Private,Hydrogen technology manufacturer,Yes,SE,FALSE
PurCity,DK,3,No,Firm,Private,Other,No,DK,FALSE
RES,SE,9,Yes,Firm,Private,Energy Utility,No,"NO ,  SE",TRUE
RISE,SE,3,No,Research institute,Public,Research/Education,No,SE,FALSE
Ramboll,DK,3,Yes,Firm,Private,Consulting,No,"DK ,  NO ,  SE",TRUE
Ramboll,NO,3,Yes,Firm,Private,Consulting,No,"DK ,  NO ,  SE",TRUE
Ramboll,SE,11,Yes,Firm,Private,Consulting,No,"DK ,  NO ,  SE",TRUE
Region Västernorrland,SE,2,No,Municipality,Public,Government/Public sector,No,SE,FALSE
Rekryteringsföretag,DK,3,No,Firm,Private,Legal/HR/Economics,No,"DK ,  NO ,  SE",TRUE
Rekryteringsföretag,NO,25,No,Firm,Private,Legal/HR/Economics,No,"DK ,  NO ,  SE",TRUE
Rekryteringsföretag,SE,5,No,Firm,Private,Legal/HR/Economics,No,"DK ,  NO ,  SE",TRUE
SINTEF,NO,7,No,Research institute,Public,Research/Education,No,NO,FALSE
SLB,NO,2,Yes,Firm,Private,Oil/gas/refinery,No,NO,FALSE
STRYVO,NO,2,No,Firm,Private,Other manufacturing,No,NO,FALSE
Schibsted,NO,2,Yes,Firm,Private,Other,No,NO,FALSE
Semco Maritime,DK,8,Yes,Firm,Private,Energy technology manufacturer,No,DK,FALSE
Shell,NO,6,Yes,Firm,Private,Oil/gas/refinery,No,NO,FALSE
Siemens Energy,NO,4,Yes,Firm,Private,Energy technology manufacturer,No,"NO ,  SE",TRUE
Siemens Energy,SE,31,Yes,Firm,Private,Energy technology manufacturer,No,"NO ,  SE",TRUE
Sigma,SE,2,No,Firm,Private,Consulting,No,SE,FALSE
Soft & Teknik,DK,5,No,Firm,Private,Other,No,DK,FALSE
Spectro Inlets,DK,3,No,Firm,Private,Other manufacturing,No,DK,FALSE
St. Jørgen Holding,DK,3,No,Firm,Private,Other,No,DK,FALSE
Statkraft,NO,70,Yes,Firm,Public,Energy Utility,No,"NO ,  SE",TRUE
Stiesdal,DK,8,No,Firm,Private,Energy technology manufacturer,Yes,DK,FALSE
SulfiLogger,DK,3,No,Firm,Private,Other manufacturing,No,DK,FALSE
Svenska Rotor Maskiner,SE,4,No,Firm,Private,Other manufacturing,No,SE,FALSE
Sweco,DK,6,Yes,Firm,Private,Consulting,No,"DK ,  NO",TRUE
Sweco,NO,8,Yes,Firm,Private,Consulting,No,"DK ,  NO",TRUE
Syddansk Universitet,DK,2,No,University,Public,Research/Education,No,DK,FALSE
TRBC,SE,6,No,Firm,Private,Consulting,No,SE,FALSE
TechnipFMC,NO,3,Yes,Firm,Private,Oil/gas/refinery,No,NO,FALSE
Techouse,NO,2,No,Firm,Private,Energy technology manufacturer,No,NO,FALSE
Topsoe,DK,28,Yes,Firm,Private,Chemicals,Yes,DK,FALSE
Universitetet i Bergen,NO,5,No,University,Public,Research/Education,No,NO,FALSE
Universitetet i Oslo,NO,3,No,University,Public,Research/Education,No,NO,FALSE
Universitetet i Stavanger,NO,5,No,University,Public,Research/Education,No,NO,FALSE
University of Copenhagen,DK,12,No,University,Public,Research/Education,No,DK,FALSE
Uppsala universitet,SE,5,No,University,Public,Research/Education,No,SE,FALSE
Vattenfall,SE,63,Yes,Firm,Public,Energy Utility,No,SE,FALSE
Wood,NO,5,Yes,Firm,Private,Consulting,No,"BE ,  DK ,  NO",TRUE
Worley,NO,6,Yes,Firm,Private,Consulting,No,NO,FALSE
Yara,NO,2,Yes,Firm,Private,Chemicals,No,NO,FALSE
ZEG,NO,2,No,Firm,Private,Hydrogen technology manufacturer,Yes,NO,FALSE
Å Energi,NO,13,No,Firm,Private,Energy Utility,No,"NO ,  SE",TRUE
Ørsted,DK,5,Yes,Firm,Public,Energy Utility,No,"DE ,  DK ,  GB ,  IE ,  NL",TRUE
