"region";"population"
"Agder (Norway)";"336067"
"Innlandet (Norway)";"365758"
"Møre og Romsdal (Norway)";"265758"
"Nordland (Norway)";"241099"
"Oslo (Norway)";"697549"
"Rogaland (Norway)";"527399"
"Troms og Finnmark (Norway)";"245345"
"Trøndelag (Norway)";"463474"
"Vestfold og Telemark (Norway)";"407678"
"Vestland (Norway)";"645900"
"Viken (Norway)";"1392000"
"Hovedstaden (Denmark)";"1861167"
"Midtjylland (Denmark)";"1346411"
"Nordjylland (Denmark)";"600528"
"Sjælland (Denmark)";"838171"
"Syddanmark (Denmark)";"1245758"
"Stockholm (Sweden)";"2377081"
"Uppsala (Sweden)";"383713"
"Södermanland (Sweden)";"297579"
"Östergötland (Sweden)";"481420"
"Jönköping (Sweden)";"365486"
"Kronoberg (Sweden)";"201469"
"Kalmar (Sweden)";"245446"
"Gotland (Sweden)";"60237"
"Blekinge (Sweden)";"159748"
"Skåne (Sweden)";"1377827"
"Halland (Sweden)";"333848"
"Västra Götaland (Sweden)";"1725648"
"Värmland (Sweden)";"282414"
"Örebro (Sweden)";"304805"
"Västmanland (Sweden)";"275853"
"Dalarna (Sweden)";"287795"
"Gävleborg (Sweden)";"287039"
"Västernorrland (Sweden)";"245347"
"Jämtland (Sweden)";"130798"
"Västerbotten (Sweden)";"275814"
"Norrbotten (Sweden)";"250497"
