Company,Country,n
100 PROCENT,SE,1
ABB,DK,3
ABB,NO,5
AFRY,NO,1
AFRY,SE,19
AS Bull,NO,2
Aalborg Universitet,DK,7
Aarhus Universitet,DK,22
Accura,DK,13
Advansor,DK,11
Agder fylkeskommune,NO,5
Aibel,NO,126
Aker Carbon Capture,DK,5
Aker Carbon Capture,NO,9
Aker Horizons,NO,1
Aker Solutions,NO,162
Akershus Energi,NO,1
Akkodis,NO,269
Algiecel,DK,10
Alltec Services,NO,2
Alm. Brand Group,DK,5
Amogy,NO,2
Aragon,NO,6
Artelia,DK,1
Atlas Copco,NO,1
AutoEnergy,SE,1
Automation Lab,DK,2
Avinor,NO,1
BWSC,DK,7
Ballard,DK,1
Benestad,NO,2
Bergen Engines,NO,11
Betania Barnehage,NO,1
Biogasclean,DK,1
Blue Power Partners,DK,4
Bodens kommun,SE,5
British Embassy Copenhagen,DK,5
British Embassy Oslo,NO,1
Bürkert,NO,1
CBS,DK,5
COWI,DK,6
COWI,NO,2
COWI,SE,1
CREADIS,DK,1
Compass Group,DK,1
Copenhagen Infrastructure Partners,DK,70
Copenhagen School of Design and Technology,DK,5
Corvus Energy,NO,12
Cyient,NO,24
DNV,DK,5
DNV,NO,9
DTU,DK,20
Danish Energy Agency,DK,10
Danish Graphene,DK,1
"Danish Ministry of Climate, Energy and Utilities",DK,10
Danish Safety Technology Authority,DK,1
Danish Technological Institute,DK,2
Danish Utility Regulator,DK,5
Dansk Standard,DK,5
Danske Bank,DK,5
Danske Havne,DK,15
Dinex,DK,1
Dovre Group,NO,1
Dynelectro,DK,2
EIFO,DK,5
EY,DK,10
Eltronic PtX,DK,9
EnBW,NO,1
Energigas Sverige,SE,2
Energimyndigheten,SE,3
Energinet,DK,3
Energy Cluster Denmark,DK,2
Enova,NO,1
"Environmental Protection Agency, Denmark",DK,1
Equinor,NO,21
Euromekanik,SE,3
European Energy,DK,29
Eurowater,DK,4
Eurowind Energy,DK,2
Everfuel,DK,5
Evida,DK,7
FORCE Technology,DK,3
FUELLA,NO,8
Fiven,NO,1
Fjord Base,NO,1
Flux Partners,DK,15
Flux Partners,NO,5
Fridtjof Nansen Institute,NO,1
GDA,SE,1
GEMKOM,SE,8
GEUS,DK,5
GEV,DK,1
Gasnor,NO,3
Gassco,NO,7
Gen2 Energy,NO,1
Granzow,SE,2
Green Hydrogen Systems,DK,34
Green Transition Denmark,DK,5
GreenGo Energy,DK,4
H2 Energy,DK,15
H2Cluster,NO,1
HPNow,DK,5
HY2GEN,NO,1
HYBRIT,SE,1
HYDS,NO,8
Head Energy,NO,11
Hitachi Energy,NO,2
Hitachi Energy,SE,2
Hjort,NO,1
Hydri,SE,1
Hydro,NO,20
Hydrogen Mem-Tech,NO,1
HydrogenPro,NO,9
Hystar,NO,4
Höegh LNG,NO,2
Høgskulen på Vestlandet,NO,6
IFE,NO,3
INEOS Inovyn,NO,1
Inkster Marine,NO,1
Innomotics,NO,1
Innovation Norway,NO,2
Inventura,NO,4
KTH,SE,8
Kongsberg Digital,NO,1
KraftPowercon,SE,7
Kromann Reumert,DK,5
Kunnskapsparken Helgeland,NO,2
LKAB,SE,4
LMG Marin,NO,1
LTU,SE,6
Leap Solutions,DK,3
Linja,NO,1
Linköpings Universitet,SE,1
Lunds universitet,SE,6
MAN Energy Solutions,DK,15
MINISTRY OF FOREIGN AFFAIRS OF DENMARK,DK,11
Mana Group,NO,2
MannTek,SE,1
Mariestads kommun,SE,1
Metier,NO,1
Moreld Apply,NO,4
Moreld Minox,NO,2
Moss Maritime,NO,2
Multiconsult,NO,4
N1,DK,1
NES Fircroft,NO,11
NIRAS,DK,3
NORCE,NO,8
NOV,NO,3
NOVA Spektrum,NO,1
NRVA,NO,1
NTNU,NO,24
NVE,NO,1
Nature Energy,DK,1
Naturvårdsverket,SE,1
Nel,DK,19
Nel,NO,27
NorSea,NO,2
Norconsult,NO,5
Norges forskningsråd,NO,1
Norled,NO,1
Norsk e-Fuel,NO,1
North Ammonia,NO,1
Norwegian Hydrogen,NO,2
Norwegian Maritime Authority,NO,2
Novo Nordisk,DK,2
OG Clean Fuels,SE,1
OKG,SE,3
Odfjell Drilling,NO,10
Odfjell Technology,NO,1
OneSubsea,NO,3
Oslo kommune,NO,1
Ovako,SE,1
POWELY,NO,1
PRO&CO,DK,3
PWS,SE,1
Permascand,SE,2
Persson Invest,SE,1
PhaseTree,DK,1
Plushögskolan,SE,2
PowerCell,SE,3
Prevas,SE,1
Prysmian Group,NO,1
PurCity,DK,5
PwC,NO,1
RDT Engineers,DK,1
RES,NO,1
RES,SE,9
RISE,SE,3
RWE,DK,1
Ramboll,DK,5
Ramboll,NO,4
Ramboll,SE,11
Regaco,DK,1
Regeringskansliet,SE,1
Region Gotland,SE,1
Region Västernorrland,SE,2
Rekryteringsföretag,DK,3
Rekryteringsföretag,NO,25
Rekryteringsföretag,SE,5
RiskPoint,NO,1
SINTEF,NO,7
SLB,NO,2
SLU,SE,1
STRYVO,NO,2
Scatec,NO,1
Schibsted,NO,2
Selfa Arctic,NO,1
Semco Maritime,DK,8
Shell,NO,6
Siemens Energy,NO,4
Siemens Energy,SE,31
Sigma,SE,2
Sjællandske Medier,DK,1
Skellefteå Kraft,SE,1
Small Step Media,NO,1
Soft & Teknik,DK,5
Sogn og Fjordane Energi,NO,1
Spectro Inlets,DK,5
St. Jørgen Holding,DK,5
Standard Norge,NO,1
Statkraft,NO,70
Stiesdal,DK,8
Strandmøllen,DK,1
SulfiLogger,DK,3
Svenska Rotor Maskiner,SE,4
Swagelok,NO,1
Sweco,DK,10
Sweco,NO,10
Syddansk Universitet,DK,2
TRBC,SE,6
TSG,SE,1
TechnipFMC,NO,3
Techouse,NO,2
Topsoe,DK,28
UAC,NO,1
UCH,DK,1
Uniper,SE,1
Unisense,DK,2
Universitetet i Bergen,NO,10
Universitetet i Oslo,NO,3
Universitetet i Stavanger,NO,5
University of Copenhagen,DK,20
Uppsala universitet,SE,5
Vattenfall,SE,63
Vestland fylkeskommune,NO,2
Viken Hydrogen,NO,1
Volvo,SE,1
WSP,SE,1
Welltec,DK,1
Wood,NO,7
Worley,NO,6
Yara,NO,2
ZEG,NO,2
Å Energi,NO,13
Ørsted,DK,9
